index,start_time,end_time,original_telugu,transliteration
1369,"00:54:18,005","00:54:19,855",toll plaza దగ్గర వాహనాల రద్దీ అంటాడు.,toll plaza dhaggara vaahanaala radhdhee antaadu.
1370,"00:54:20,146","00:54:20,935",మళ్ళీ దానికి heroine,mallee dhaaniki heroine
1371,"00:54:21,126","00:54:23,435",కర్రీ point లో డబ్బులు ఎగ్గొట్టిన కొత్త director అంటుందా?,karree point lo dabbulu yeggottina koththa director antundhaa?
1372,"00:54:26,045","00:54:28,655",అయ్యో ఏంటండీ సొంతంగా కష్టపడి scene రాస్తే తీసి పడేస్తారు.,ayyo yentandee sonthangaa kashtapadi scene raasthe theesi padesthaaru.
1373,"00:54:29,206","00:54:30,175",నువ్వు copy ఏ కొట్టుకోమల్,nuvvu copy ye kottukomal
1374,"00:54:31,626","00:54:34,215",అంటే copy అంటే copy అని కాదు ఇట్లా inspiration,ante copy ante copy ani kaadhu itlaa inspiration
1375,"00:54:34,565","00:54:35,295",ఆ ఇదేంది,aa idhendhi
1376,"00:54:35,525","00:54:37,576",మక్కికి మక్కి కొట్టేనట్లా inspire అయితాను అంతే,makkiki makki kottenatlaa inspire ayithaanu anthe
1377,"00:54:41,865","00:54:43,826",నీ జాతకం ప్రకారం నువ్వు బతికేది యాభై ఏళ్ళే,nee jaathakam prakaaram nuvvu bathikedhi yaabhai yelle
1378,"00:54:44,445","00:54:45,335",ఇప్పుడు నీ age ఎంత?,ippudu nee age yentha?
1379,"00:54:45,585","00:54:46,235",యాభై ఒకటి,yaabhai okati
1380,"00:54:46,626","00:54:46,976",దెబ్బడిపోయింది.,dhebbadipoyindhi.
1381,"00:54:48,786","00:54:49,126",రేఖ,rekha
1382,"00:54:49,985","00:54:50,385",గీత,geetha
1383,"00:54:50,826","00:54:51,925",ఉ నీకిద్దరు పెళ్ళాలు,u neekidhdharu pellaalu
1384,"00:54:53,465","00:54:54,445",నాకింకా పెళ్ళి అవలేదు,naakinkaa pelli avaledhu
1385,"00:54:54,905","00:54:55,536",మళ్ళీ బడింది,mallee badindhi
1386,"00:54:57,722","00:54:58,802",ఇద్దరు బిడ్డలను ఉండాల్సినోడివి,idhdharu biddalanu undaalsinodivi
1387,"00:54:59,001","00:54:59,931",ఒక్క పెళ్లి కూడా కాలేదంటే,okka pelli koodaa kaaledhante
1388,"00:55:01,541","00:55:02,051",ఊ.. నువ్వు,oo.. nuvvu
1389,"00:55:02,101","00:55:02,451",ఖచ్చితంగా,khachhithangaa
1390,"00:55:02,581","00:55:03,311",bachelor వే,bachelor ve
1391,"00:55:03,802","00:55:04,152",మహాజ్ఞాని,mahaagnaani
1392,"00:55:04,382","00:55:04,501",రా,raa
1393,"00:55:05,782","00:55:08,302",నువ్వు ఆ కోమలి గాడి అంతు చూడాలి అంతే కదా అంతే,nuvvu aa komali gaadi anthu choodaali anthe kadhaa anthe
1394,"00:55:09,202","00:55:09,991",అంతే చూడాలి,anthe choodaali
1395,"00:55:10,461","00:55:10,811",ఊ..,oo..
1396,"00:55:11,501","00:55:12,481",నువ్వు పొద్దున tiffin ఏం చేశావ్,nuvvu podhdhuna tiffin yem cheshaav
1397,"00:55:13,121","00:55:14,612",Mysore bonda Mysore,Mysore bonda Mysore
1398,"00:55:15,161","00:55:15,511",Mysore,Mysore
1399,"00:55:16,101","00:55:16,451",Karnataka,Karnataka
1400,"00:55:17,322","00:55:17,672",Rashmika,Rashmika
1401,"00:55:17,981","00:55:18,391",Mandanna,Mandanna
1402,"00:55:18,922","00:55:20,161",National crush ఊ..,National crush oo..
1403,"00:55:22,561","00:55:24,911",నువ్వు ఆ కోమలి గాడిని crush చేయాలి అంతే కదా Crush,nuvvu aa komali gaadini crush cheyaali anthe kadhaa Crush
1404,"00:55:25,141","00:55:25,561",చేయాలి,cheyaali
1405,"00:55:26,322","00:55:26,882",నువ్వేం తిన్నావ్,nuvvem thinnaav
1406,"00:55:27,831","00:55:28,592",పూరీ పూరీ,pooree pooree
1407,"00:55:29,101","00:55:30,351",పూరీ ఆ పూరీ Bangkok,pooree aa pooree Bangkok
1408,"00:55:30,922","00:55:31,572",పూరీ జగన్నాథ్,pooree jagannaath
1409,"00:55:32,061","00:55:32,411",ఊ..,oo..
1410,"00:55:32,641","00:55:33,532",అంటే sandwich massage,ante sandwich massage
1411,"00:55:34,132","00:55:34,771",sandwich massage,sandwich massage
1412,"00:55:34,842","00:55:36,572",అంటే మడత పెట్టి massage ఊ..,ante madatha petti massage oo..
1413,"00:55:37,161","00:55:38,891",మడత పెట్టి మడత పెట్టి ఊ..,madatha petti madatha petti oo..
1414,"00:55:39,742","00:55:40,942",మడత పెట్టి మడత పెట్టి,madatha petti madatha petti
1415,"00:55:41,362","00:55:41,711",ఊ..,oo..
1416,"00:55:42,282","00:55:43,260",శ్రీలీల ఆహా,shreeleela aahaa
1417,"00:55:43,742","00:55:44,322",connect అవ్వట్లా,connect avvatlaa
1418,"00:55:46,731","00:55:47,192",ఇప్పుడు ఆ,ippudu aa
1419,"00:55:47,242","00:55:49,431",కోమలి గాడి సినిమా విషయంలో మోసం జరిగింది కాబట్టి నీకు,komali gaadi sinimaa vishayamlo mosam jarigindhi kaabatti neeku
1420,"00:55:50,311","00:55:50,831",ఆ నువ్వొక పని చెయ్,aa nuvvoka pani chey
1421,"00:55:52,061","00:55:52,681",ఆ సినిమాని ఆపియ్,aa sinimaani aapiy
1422,"00:55:53,842","00:55:54,192",ఆ,aa
1423,"00:56:01,940","00:56:03,121",రేయ్ ఇట్రా ఆ అన్న,rey itraa aa anna
1424,"00:56:03,302","00:56:03,561",ఎవరు,yevaru
1425,"00:56:04,101","00:56:06,672",heroine వాళ్ళ mother అన్న ఆ heroine వాళ్ళ mother అన్న సరిగ్గా,heroine vaalla mother anna aa heroine vaalla mother anna sariggaa
1426,"00:56:06,722","00:56:06,882",చూడు,choodu
1427,"00:56:07,442","00:56:10,161",ఒక్క పోలికనైనా ఉందారా heroine కి ఆమెకి ఆ కళ్ళు ముక్కు నోరు అసలు,okka polikanainaa undhaaraa heroine ki aameki aa kallu mukku noru asalu
1428,"00:56:10,211","00:56:12,311",heroine కి సమాధానం ఉందారా ఎందుకు select చేšiర్రా ఆమెని heroine,heroine ki samaadhaanam undhaaraa yendhuku select cheširraa aameni heroine
1429,"00:56:12,362","00:56:12,951",mother లాగా,mother laagaa
1430,"00:56:13,121","00:56:14,061",తన real mother sir,thana real mother sir
1431,"00:56:15,161","00:56:15,751",నిన్ను కనిపించింది,ninnu kanipinchindhi
1432,"00:56:15,922","00:56:16,302",ఆమెనేనా,aamenenaa
1433,"00:56:17,331","00:56:18,091",నవమాసాలు మోసి,navamaasaalu mosi
1434,"00:56:18,141","00:56:19,161",పెంచింది కూడా తనే sir,penchindhi koodaa thane sir
1435,"00:56:21,211","00:56:21,791",Okay okay,Okay okay
1436,"00:56:21,842","00:56:22,302",sorry aunty,sorry aunty
1437,"00:56:23,012","00:56:23,601",okay Sir,okay Sir
1438,"00:56:23,681","00:56:24,311",మీతో మాట్లాడ్డానికి,meetho maatlaaddaaniki
1439,"00:56:24,581","00:56:25,851",ఎవరో వచ్చారు నాతో మాట్లాడుకుందాం,yevaro vachhaaru naatho maatlaadukundhaam
1440,"00:56:26,141","00:56:26,751",అనుకున్న వాళ్ళందరితో,anukunna vaallandharitho
1441,"00:56:27,001","00:56:27,491",నేను మాట్లాడాలనుకో,nenu maatlaadaalanuko
1442,"00:56:28,101","00:56:29,351",నేను నూట ఇరవై సంవత్సరాలు బతకాలి,nenu noota iravai samvathsaraalu bathakaali
1443,"00:56:29,521","00:56:31,882",time burning money is burning రేయ్ మీకు కూడా చెప్తా అన్న,time burning money is burning rey meeku koodaa chepthaa anna
1444,"00:56:32,161","00:56:33,511",సినిమా budget లో చేయాలి,sinimaa budget lo cheyaali
1445,"00:56:33,722","00:56:36,371",ప్రతి రూపాయి లెక్క కట్టరా అండి అర్థమవుతుందా రాతది అయింది పదేను,prathi roopaayi lekka kattaraa andi arthamavuthundhaa raathadhi ayindhi padhenu
1446,"00:56:36,422","00:56:37,902",వేలైంది అన్న అయితే ఈరోజు నుండి రాయండి,velaindhi anna ayithe eeroju nundi raayandi
1447,"00:56:38,382","00:56:40,822",రేయ్ మన recordings అన్ని ready ఉన్నాయా ఉన్నాయ్ అన్న,rey mana recordings anni ready unnaayaa unnaay anna
1448,"00:56:41,322","00:56:41,811",ఒక important,oka important
1449,"00:56:42,001","00:56:43,081",recording చిత్రకి వినిపియ్యాలి,recording chithraki vinipiyyaali
1450,"00:56:43,641","00:56:45,202",ready చెయ్ సరే అన్న అండ్ అరేయ్,ready chey sare anna and arey
1451,"00:56:46,432","00:56:47,211",discipline decency,discipline decency
1452,"00:56:47,262","00:56:47,612",లేనోళ్ళందరూ,lenollandharoo
1453,"00:56:47,942","00:56:49,081",set బయటనే రేపటి నుండి,set bayatane repati nundi
1454,"00:56:49,382","00:56:51,302",అంటే ఇప్పుడు నీకు monitor room కి బయట పెట్టించనా అన్న,ante ippudu neeku monitor room ki bayata pettinchanaa anna
1455,"00:56:52,442","00:56:52,991",Joke చేస్తున్నావారా,Joke chesthunnaavaaraa
1456,"00:56:53,242","00:56:55,351",అయ్య లేదన్నా serious గానే అయితే బయటనే పెట్టి,ayya ledhannaa serious gaane ayithe bayatane petti
1457,"00:56:55,561","00:56:56,061",ఊ okay అన్న,oo okay anna
1458,"00:57:07,820","00:57:08,351",directors అందరూ,directors andharoo
1459,"00:57:08,402","00:57:10,731",వచ్చారో లేదో చూసుకో okay ఆ car లో producer కూర్చుంటాడు,vachhaaro ledho choosuko okay aa car lo producer koorchuntaadu
1460,"00:57:11,041","00:57:13,331",clean చేపియ్యి ఆ car సరే అన్న రేయ్ రమేష్ చిత్ర గారు ఇప్పుడు ఆ,clean chepiyyi aa car sare anna rey ramesh chithra gaaru ippudu aa
1461,"00:57:13,382","00:57:16,851",dialogue ఏదైతే ఉందో ఆ బాలాజీ ఆ madam director గారికి chair వేయమని,dialogue yedhaithe undho aa baalaajee aa madam director gaariki chair veyamani
1462,"00:57:16,902","00:57:17,521",చెప్పండి ఆ,cheppandi aa
1463,"00:57:18,101","00:57:18,411",సరే madam,sare madam
1464,"00:57:19,061","00:57:21,931",అరే శేఖర్ chair పెట్టురా కొంచెం director కి ఏం కావాలో చూసుకోండి,are shekhar chair petturaa konchem director ki yem kaavaalo choosukondi
1465,"00:57:22,681","00:57:22,781",ఓ,o
1466,"00:57:23,161","00:57:23,711",సరే madam,sare madam
1467,"00:57:23,922","00:57:26,511",madam ఈరోజు shooting six to nine వరకే కదండీ,madam eeroju shooting six to nine varake kadhandee
1468,"00:57:26,822","00:57:27,871",director గారిని అడగండి,director gaarini adagandi
1469,"00:57:28,141","00:57:28,491",ఇప్పటినుంచి,ippatinunchi
1470,"00:57:28,742","00:57:30,092",set లో ఆయన ఏం చెప్తారో అదే,set lo aayana yem chepthaaro adhe
1471,"00:57:30,541","00:57:30,891",ఓ,o
1472,"00:57:32,541","00:57:32,722",sir,sir
1473,"00:57:33,141","00:57:36,072",ఈరోజు shoot six to nine వరకే కదా sir ఓ మంచి mood లో ఉన్నా పో,eeroju shoot six to nine varake kadhaa sir o manchi mood lo unnaa po
1474,"00:57:36,541","00:57:36,891",ఓ,o
1475,"00:57:37,842","00:57:38,291",ఏ కోమలి,ye komali
1476,"00:57:38,681","00:57:40,152",ఆ అన్న నా production లో నన్నే act చేయమంటావేంటయ్యా,aa anna naa production lo nanne act cheyamantaaventayyaa
1477,"00:57:40,802","00:57:43,591",sir మన మంచి production లో మంచి restart ఇట్లా మంచి character తో,sir mana manchi production lo manchi restart itlaa manchi character tho
1478,"00:57:43,641","00:57:46,611",అవ్వాలని sir మీ luck power sir అది ఆ అంటే మీది iron ఛీ golden,avvaalani sir mee luck power sir adhi aa ante meedhi iron chee golden
1479,"00:57:46,661","00:57:46,981",leg అని,leg ani
1480,"00:57:47,942","00:57:48,781",నేను act చేయడమేంటయ్యా,nenu act cheyadamentayyaa
1481,"00:57:49,041","00:57:50,052",sir sir కొంచెం మనసు ఇస్తే Hey backup,sir sir konchem manasu isthe Hey backup
1482,"00:57:50,481","00:57:51,411",caravan ready చేయండి,caravan ready cheyandi
1483,"00:57:53,271","00:57:53,811",కోమలి నేను,komali nenu
1484,"00:57:53,862","00:57:54,632",caravan లో ఉంటాను,caravan lo untaanu
1485,"00:57:55,061","00:57:57,141",ఈరోజు scenes recording పంపించు సరేనా okay అండి,eeroju scenes recording pampinchu sarenaa okay andi
1486,"00:57:58,021","00:57:58,481",చిత్ర గారు,chithra gaaru
1487,"00:57:59,831","00:58:00,541",ఊ అలాగే,oo alaage
1488,"00:58:00,621","00:58:03,211",ఆ recording తో పాటు నా personal recording కూడా ఒకటి పంపిస్తా clip,aa recording tho paatu naa personal recording koodaa okati pampisthaa clip
1489,"00:58:03,262","00:58:04,322",number one four three వినండి,number one four three vinandi
1490,"00:58:05,302","00:58:06,041",ఆ పంపు,aa pampu
1491,"00:58:07,581","00:58:09,431",ఇక్కన్నే sir మన shot ఒక్కడికి నా చేత act చేయిస్తున్నావ్,ikkanne sir mana shot okkadiki naa chetha act cheyisthunnaav
1492,"00:58:10,262","00:58:12,842",ఏంటి నా character ఏంటి మీరు జీప్ లో కూర్చుంటారు sir,yenti naa character yenti meeru jeep lo koorchuntaaru sir
1493,"00:58:13,402","00:58:14,552",blast sir ఆ,blast sir aa
1494,"00:58:14,961","00:58:16,460",Joke చేసిన sir ఎప్పుడు అట్లుంటారెందుకు,Joke chesina sir yeppudu atluntaarendhuku
1495,"00:58:16,641","00:58:17,531",నేనేదో stress ఇచ్చినట్టు,nenedho stress ichhinattu
1496,"00:58:17,742","00:58:18,242",నవ్వండి sir,navvandi sir
1497,"00:58:19,262","00:58:22,351",బాగుంటారు sir మీరు మీ అమ్మాయి నవ్వితే ఆ sorry మీ అమ్మాయి ఒక్కమ్మనే,baaguntaaru sir meeru mee ammaayi navvithe aa sorry mee ammaayi okkammane
1498,"00:58:22,402","00:58:22,842",బాగుంటుంది sir,baaguntundhi sir
1499,"00:58:23,302","00:58:25,481",ఆ చెప్పు నా character ఏంటో చెప్పు పెద్ద gangster sir,aa cheppu naa character yento cheppu pedhdha gangster sir
1500,"00:58:25,981","00:58:28,152",ఊ మంచి banner producer ని gangster,oo manchi banner producer ni gangster
1501,"00:58:28,422","00:58:29,842",ని చేసేశావ్ అవును sir ఆ,ni cheseshaav avunu sir aa
1502,"00:58:30,771","00:58:31,402",చెప్పు scene,cheppu scene
1503,"00:58:31,461","00:58:31,981",sir ఊ,sir oo
1504,"00:58:32,541","00:58:32,862",ఒకడు,okadu
1505,"00:58:34,541","00:58:36,282",పెద్ద container వేసుకొని వస్తున్నాడు sir,pedhdha container vesukoni vasthunnaadu sir
1506,"00:58:37,592","00:58:38,471",అమ్మో container,ammo container
1507,"00:58:38,521","00:58:39,031",లో ఏముందయ్యా,lo yemundhayyaa
1508,"00:58:40,211","00:58:41,632",అరకిలో చింతపండు ఉంది sir,arakilo chinthapandu undhi sir
1509,"00:58:42,362","00:58:43,172",తొక్కలు చింతపండు,thokkalu chinthapandu
1510,"00:58:43,382","00:58:45,581",container ఎందుకయ్యా Basically మీరు పెద్ద don sir,container yendhukayyaa Basically meeru pedhdha don sir
1511,"00:58:46,262","00:58:49,041",dons అంటే basically containers చుట్టే వాళ్ళ కథ తిరుగుతుంటది sir,dons ante basically containers chutte vaalla katha thiruguthuntadhi sir
1512,"00:58:49,161","00:58:49,731",ఊ మీరు అవసరమున్నా,oo meeru avasaramunnaa
1513,"00:58:49,922","00:58:51,471",లేకున్నా రోజు రెండు మూడు సార్లు container,lekunnaa roju rendu moodu saarlu container
1514,"00:58:51,681","00:58:54,311",container container అనాలి ఊ అంత పెద్ద don అని question లేవద్దు,container container anaali oo antha pedhdha don ani question levadhdhu
1515,"00:58:54,362","00:58:57,531",sir ఇప్పుడు present scene ఏందంటే sir ఏం జరిగినా కూడా మీరు jeep,sir ippudu present scene yendhante sir yem jariginaa koodaa meeru jeep
1516,"00:58:57,581","00:59:00,311",లో నుండీ అయితే బయటికి రావద్దు sir ఏం జరిగినా నేను jeep లో నుంచి,lo nundee ayithe bayatiki raavadhdhu sir yem jariginaa nenu jeep lo nunchi
1517,"00:59:00,362","00:59:01,031",బయటికి రాను,bayatiki raanu
1518,"00:59:05,342","00:59:08,591",ఊ ఏందిరా scene discussion ఆ అవునన్నా ఈ మధ్య మనం scene discussion,oo yendhiraa scene discussion aa avunannaa ee madhya manam scene discussion
1519,"00:59:08,641","00:59:10,211",మధ్యలో ఏం divert అయితలేం కదా ఏ అయితలేదన్నా,madhyalo yem divert ayithalem kadhaa ye ayithaledhannaa
1520,"00:59:10,521","00:59:10,871",అప్పుడప్పుడు,appudappudu
1521,"00:59:11,061","00:59:13,431",చిత్రమైన topic వచ్చినప్పుడు అచ్చీ దాని పేరు ఎత్తకు అదేందన్నా అంత,chithramaina topic vachhinappudu achhee dhaani peru yeththaku adhendhannaa antha
1522,"00:59:13,481","00:59:13,831",మాటన్నావ్,maatannaav
1523,"00:59:14,021","00:59:15,041",మరి లేకపోతే ఏందిరా,mari lekapothe yendhiraa
1524,"00:59:15,842","00:59:16,731",జరిగింది ఏందో తెలుసా,jarigindhi yendho thelusaa
1525,"00:59:17,161","00:59:17,742",నేను చెప్తా విను,nenu chepthaa vinu
1526,"00:59:18,492","00:59:18,991",వాస్తవానికి ఇదే,vaasthavaaniki idhe
1527,"00:59:19,041","00:59:19,911",వాళ్ళ IA డబ్బులు నొక్కేసింది,vaalla IA dabbulu nokkesindhi
1528,"00:59:20,981","00:59:23,771",వీరికి తూ అంటే తా తెలవదు startup పెట్టి start కాకముందే దివాళా,veeriki thoo ante thaa thelavadhu startup petti start kaakamundhe dhivaalaa
1529,"00:59:23,822","00:59:24,601",తీసి ఉంటది ఇది,theesi untadhi idhi
1530,"00:59:25,262","00:59:26,211",ఇది బయటికి చెప్తే బదలాయిమవుతారు,idhi bayatiki chepthe badhalaayimavuthaaru
1531,"00:59:26,362","00:59:26,541",కదా,kadhaa
1532,"00:59:27,101","00:59:28,531",ఇలా ఈ time లో ఒక బకరా గాడు కావాలి,ilaa ee time lo oka bakaraa gaadu kaavaali
1533,"00:59:28,762","00:59:29,871",so కోమలి గాడు దొరికిండు,so komali gaadu dhorikindu
1534,"00:59:30,501","00:59:33,331",వాడు budget పెంచితే IA stress వచ్చి పడిపోయిండు అది ఇది అని నన్ను,vaadu budget penchithe IA stress vachhi padipoyindu adhi idhi ani nannu
1535,"00:59:33,382","00:59:33,731",బదలాయింపచేసిర్రు,badhalaayimpachesirru
1536,"00:59:34,081","00:59:36,262",ఊ మళ్ళా producers అందరి దగ్గర sympathy card,oo mallaa producers andhari dhaggara sympathy card
1537,"00:59:36,742","00:59:38,152",ఆ publicity కూడా అయిపోతాది కదా,aa publicity koodaa ayipothaadhi kadhaa
1538,"00:59:38,442","00:59:38,791",అదన్నమాట,adhannamaata
1539,"00:59:39,262","00:59:41,121",మళ్ళా బేటీ ఏక్ number అంటే బాప్ దస్ number,mallaa betee yek number ante baap dhas number
1540,"00:59:42,222","00:59:43,271",పేరుకే మంచి productions,peruke manchi productions
1541,"00:59:43,461","00:59:43,951",రా ఇదంతా,raa idhanthaa
1542,"00:59:44,141","00:59:44,491",ఒక్కసారి,okkasaari
1543,"00:59:44,762","00:59:45,771",ఒక్కసారి సినిమా అయిపోనీ,okkasaari sinimaa ayiponee
1544,"00:59:45,972","00:59:48,161",ఇట్లా press meet పెట్టి ఇలా మంచి productions లో ఎవరెవళ్ళు ముంచారో,itlaa press meet petti ilaa manchi productions lo yevarevallu munchaaro
1545,"00:59:48,222","00:59:49,271",మొత్తం చెప్పేస్తా జనాలకి,moththam cheppesthaa janaalaki
1546,"00:59:50,822","00:59:53,211",అరే record గిర్డ్ అయితలేదుగా చూసుకో అయితలేదు అన్న అయితలేదు,are record gird ayithaledhugaa choosuko ayithaledhu anna ayithaledhu
1547,"00:59:53,862","00:59:55,572",ఆ record అయిన ఏముందిరా ఏ fabricated,aa record ayina yemundhiraa ye fabricated
1548,"00:59:55,802","00:59:56,121",అని చెప్తా,ani chepthaa
1549,"01:00:07,021","01:00:07,641",విన్నారా అండి,vinnaaraa andi
1550,"01:00:08,202","01:00:08,762",నా recording,naa recording
1551,"01:00:10,722","01:00:12,081",నేను చెప్పింది మీకు okay అయితే,nenu cheppindhi meeku okay ayithe
1552,"01:00:12,521","01:00:12,782",ఆ,aa
1553,"01:00:13,362","01:00:14,802",ఆ ఆ light ఆపేయండి,aa aa light aapeyandi
1554,"01:00:16,382","01:00:16,991",లేదు అనుకుంటే,ledhu anukunte
1555,"01:00:17,541","01:00:19,291",మీ వెనుకున్న light ఆపేయండి ఊ,mee venukunna light aapeyandi oo
1556,"01:00:20,902","01:00:24,141",ఇప్పుడు నేను ఏదో ఒకటి ఆపేయాలి అంతేగా ఆ అవునండి ఒక పని చేస్తా,ippudu nenu yedho okati aapeyaali anthegaa aa avunandi oka pani chesthaa
1557,"01:00:24,802","01:00:25,382",సినిమా ఆపేస్తా,sinimaa aapesthaa
1558,"01:00:25,782","01:00:26,481",ఆ ఆ,aa aa
1559,"01:00:28,132","01:00:28,611",సినిమా ఎందుకు,sinimaa yendhuku
1560,"01:00:28,661","01:00:29,011",ఆపేస్తారండి,aapesthaarandi
1561,"01:00:29,872","01:00:30,672",ఆ get,aa get
1562,"01:00:30,722","01:00:32,001",out komal get out from here,out komal get out from here
1563,"01:00:32,402","01:00:33,481",don't show me your face get out,don't show me your face get out
1564,"01:00:34,242","01:00:35,161",బానే చెప్పినా కదా,baane cheppinaa kadhaa
1565,"01:00:36,461","01:00:36,581",ఆ,aa
1566,"01:00:37,622","01:00:38,601",తినేస్తున్నాడురా బాబు,thinesthunnaaduraa baabu
1567,"01:00:41,621","01:00:43,141",చేయరా ఇప్పుడు నాతో సినిమా చేయరా,cheyaraa ippudu naatho sinimaa cheyaraa
1568,"01:00:43,762","01:00:44,181",చేయను,cheyanu
1569,"01:00:48,202","01:00:49,001",పోనీ love చేస్తారా,ponee love chesthaaraa
1570,"01:00:51,382","01:00:53,161",నేను ఆ అది కాదు ఒకసారి Don't touch me,nenu aa adhi kaadhu okasaari Don't touch me
1571,"01:00:53,961","01:00:56,242",అది కాదండి ఒక్కసారి నాతో రండి ఏ ఏ మీరు ఒకసారి రండి చెప్తా,adhi kaadhandi okkasaari naatho randi ye ye meeru okasaari randi chepthaa
1572,"01:00:57,202","01:01:00,612",ఏ komal just leave my hand చూడండి చిత్ర గారు ఏ పాపం ఇంతమంది,ye komal just leave my hand choodandi chithra gaaru ye paapam inthamandhi
1573,"01:01:01,001","01:01:01,351",కొట్టకోడతారా,kottakodathaaraa
1574,"01:01:01,521","01:01:02,192",చెప్పండి మీరు,cheppandi meeru
1575,"01:01:02,501","01:01:04,112",Komal go రండి చిత్ర గారు ఒక్కసారి నాతో రండి please,Komal go randi chithra gaaru okkasaari naatho randi please
1576,"01:01:04,621","01:01:06,692",రండి Madam చూడు Madam పాపం crane వెంకట్,randi Madam choodu Madam paapam crane venkat
1577,"01:01:07,181","01:01:09,711",అలా పిల్లల fees కట్టుకోవాలి Madam వాడు వాడిని చూడండి Madam light,alaa pillala fees kattukovaali Madam vaadu vaadini choodandi Madam light
1578,"01:01:09,762","01:01:10,112",సంతోష్,santhosh
1579,"01:01:10,862","01:01:13,531",వాడు lighting చేసుకోవాలి ఛీ వాడు వాడి kaal operation చేయిపించుకోవాలి,vaadu lighting chesukovaali chee vaadu vaadi kaal operation cheyipinchukovaali
1580,"01:01:13,581","01:01:16,051",Madam ఇంతమంది కడుపు కొట్టినా పాపం మన మంచి production కి ఎందుకు,Madam inthamandhi kadupu kottinaa paapam mana manchi production ki yendhuku
1581,"01:01:16,101","01:01:16,451",చెప్పండి,cheppandi
1582,"01:01:19,512","01:01:20,380",ఏంటయ్యా late,yentayyaa late
1583,"01:01:21,101","01:01:23,931",మనం మీరు ఒప్పుకుంటే ఈ సినిమాని మనం blast చేద్దాం Madam industry,manam meeru oppukunte ee sinimaani manam blast chedhdhaam Madam industry
1584,"01:01:23,981","01:01:24,081",ని,ni
1585,"01:01:24,541","01:01:26,161",shake చేసి ఇట్లా blast చేద్దాం Madam,shake chesi itlaa blast chedhdhaam Madam
1586,"01:01:52,222","01:01:52,572",ఆ,aa
1587,"01:01:54,692","01:01:56,282",JK chinchayyo,JK chinchayyo
1588,"01:02:19,021","01:02:19,282",Hello,Hello
1589,"01:02:19,742","01:02:20,081",నాన్న,naanna
1590,"01:02:20,722","01:02:22,511",ఆ కోమల గారిని మనం ఏం చేయలేమా,aa komala gaarini manam yem cheyalemaa
1591,"01:02:23,181","01:02:23,531",వాడ్ని,vaadni
1592,"01:02:24,922","01:02:26,442",వాడ్ని urgent గా collar పట్టుకుని,vaadni urgent gaa collar pattukuni
1593,"01:02:27,081","01:02:29,061",లోపల వేసి police officer కావాలి నాన్న నాకు,lopala vesi police officer kaavaali naanna naaku
1594,"01:02:38,322","01:02:39,831",మేము మిమ్మల్ని ఎందుకు పిలిచాం అంటే sir,memu mimmalni yendhuku pilichaam ante sir
1595,"01:02:42,302","01:02:45,382",ఇంతవరకు మేము police station గడపే తొక్కలేదు sir నేను కూడా తొక్కలేదు,inthavaraku memu police station gadape thokkaledhu sir nenu koodaa thokkaledhu
1596,"01:02:47,202","01:02:50,092",Sir మీరు ఇంతకుముందు ఎవరినన్నా collar పట్టుకుని లోపల వేశారా sir,Sir meeru inthakumundhu yevarinannaa collar pattukuni lopala veshaaraa sir
1597,"01:02:50,322","01:02:50,672",హ్మ్,hma్
1598,"01:02:54,661","01:02:57,561",మీకు చిన్న ప్రతాప్ రెడ్డి తెలుసా తెలుసు sir బాగా పెద్దగా ఉంటాడు,meeku chinna prathaap reddi thelusaa thelusu sir baagaa pedhdhagaa untaadu
1599,"01:02:58,621","01:03:01,011",వాడ్ని first time collar పట్టుకుని లోపల పడేసింది నేనే,vaadni first time collar pattukuni lopala padesindhi nene
1600,"01:03:01,282","01:03:01,632",ఓ,o
1601,"01:03:01,922","01:03:02,692",తర్వాత ఈ రాజన్,tharvaatha ee raajan
1602,"01:03:03,422","01:03:05,271",summer లో collar లేని shirt వేసుకుని తిరిగేవాడు,summer lo collar leni shirt vesukuni thirigevaadu
1603,"01:03:05,702","01:03:06,601",ఒక tailor ని పెట్టి,oka tailor ni petti
1604,"01:03:07,141","01:03:09,911",వాడికి collar కుట్టించి మరీ లోపల పడేశా సరే వేశారు ఎందుకంటే నాకు,vaadiki collar kuttinchi maree lopala padeshaa sare veshaaru yendhukante naaku
1605,"01:03:09,961","01:03:11,211",criminal కంటే collar important,criminal kante collar important
1606,"01:03:11,541","01:03:11,891",విషయమంతా,vishayamanthaa
1607,"01:03:12,061","01:03:13,351",మీకు బాలాజీ చెప్పే ఉంటాడు,meeku baalaajee cheppe untaadu
1608,"01:03:13,581","01:03:15,362",చెప్పలేదు చెప్పలేదా విషయమని చెప్పాడు,cheppaledhu cheppaledhaa vishayamani cheppaadu
1609,"01:03:16,581","01:03:17,672",కానీ ఏ విషయమో చెప్పలేదు,kaanee ye vishayamo cheppaledhu
1610,"01:03:17,981","01:03:20,801",Sir వాడు shooting లో bomb blast చేశాడు sir ఇంతకీ bomb పెట్టింది,Sir vaadu shooting lo bomb blast cheshaadu sir inthakee bomb pettindhi
1611,"01:03:20,851","01:03:22,751",ఎవరు Sir bomb పెట్టింది GK,yevaru Sir bomb pettindhi GK
1612,"01:03:22,902","01:03:24,672",but మీరు collar పట్టుకుని లోపల వేయాల్సింది,but meeru collar pattukuni lopala veyaalsindhi
